Anio,Mes,CodigoPais,PaisOrigen,LongitudPais,LatitudPais,CodigoDepto,DepartamentoDestino,LongitudDpto,LatitudDpto,Partida,Cadena,Producto,CodigoUnidad,CantidadUnidades,ValorMilesFOBDol,ValorMilesPesos,VolumenToneladas
2016,Septiembre,105,Brasil,-55,-10,11,"BOGOTÁ, D. C.",-74106715324,464993705899,"0407110000 - HUEVOS FECUNDADOS PARA INCUBACION, DE GALLINA DE LA ESPECIE GALLUS DOMESTICUS.",Avícola,Huevos,U,24480,5.64,25947.98,1.63
2016,Septiembre,105,Brasil,-55,-10,68,SANTANDER,-731325976221,711626842734,"0105110000 - Gallos y gallinas de las especies domésticas, de peso inferior o igual a 185 g, vivos.",Avícola,Gallos y gallinas,U,22400,247.3,749393.9,1.01
2016,Septiembre,105,Brasil,-55,-10,73,TOLIMA,-751953679078,443280938914,"0105110000 - Gallos y gallinas de las especies domésticas, de peso inferior o igual a 185 g, vivos.",Avícola,Gallos y gallinas,U,12845,369.38,1061687.29,0.66
2016,Septiembre,105,Brasil,-55,-10,76,VALLE DEL CAUCA,-765215601611,34144187719,"0105110000 - Gallos y gallinas de las especies domésticas, de peso inferior o igual a 185 g, vivos.",Avícola,Gallos y gallinas,U,30240,319.32,961667.02,1.36
2016,Septiembre,249,Estados Unidos,-98.5,39.76,68,SANTANDER,-731325976221,711626842734,"0407110000 - HUEVOS FECUNDADOS PARA INCUBACION, DE GALLINA DE LA ESPECIE GALLUS DOMESTICUS.",Avícola,Huevos,U,5040,1.56,6944.59,0.33
2016,Septiembre,589,Perú,-75.25,-10,11,"BOGOTÁ, D. C.",-74106715324,464993705899,0408110000 - Yemas de huevo secas.,Avícola,Huevos,KG,40,0.22,641.78,0.04
2016,Septiembre,589,Perú,-75.25,-10,11,"BOGOTÁ, D. C.",-74106715324,464993705899,"0408910000 - Los demás huevos de ave sin cáscara, secos.",Avícola,Huevos,KG,2000,13.7,39857.44,2
2016,Septiembre,589,Perú,-75.25,-10,25,CUNDINAMARCA,-746692192503,437531467846,"0207270000 - Trozos y despojos de pavo (gallipavo), congelados.",Avícola,Carne y despojos comestibles de pavos,KG,22582.06,133.23,387228.08,22.58
2016,Septiembre,211,Chile,-71,-30,5,ANTIOQUIA,-755760017134,624858636743,"0207270000 - Trozos y despojos de pavo (gallipavo), congelados.",Avícola,Carne y despojos comestibles de pavos,KG,24000,95.21,279028.93,24
2016,Septiembre,589,Perú,-75.25,-10,11,"BOGOTÁ, D. C.",-74106715324,464993705899,"0207250000 - Carne de pavo (gallipavo) sin trocear, congelado.",Avícola,Carne y despojos comestibles de pavos,KG,62614.05,159.67,475983.45,62.61
2016,Septiembre,589,Perú,-75.25,-10,11,"BOGOTÁ, D. C.",-74106715324,464993705899,"0207270000 - Trozos y despojos de pavo (gallipavo), congelados.",Avícola,Carne y despojos comestibles de pavos,KG,21852.79,101.83,301859.23,21.85
2016,Septiembre,249,Estados Unidos,-98.5,39.76,5,ANTIOQUIA,-755760017134,624858636743,"0207270000 - Trozos y despojos de pavo (gallipavo), congelados.",Avícola,Carne y despojos comestibles de pavos,KG,24494.24,51.69,156569.94,24.49
2016,Septiembre,249,Estados Unidos,-98.5,39.76,11,"BOGOTÁ, D. C.",-74106715324,464993705899,"0207250000 - Carne de pavo (gallipavo) sin trocear, congelado.",Avícola,Carne y despojos comestibles de pavos,KG,52429.11,145.64,457209.41,52.43
2016,Septiembre,249,Estados Unidos,-98.5,39.76,11,"BOGOTÁ, D. C.",-74106715324,464993705899,"0207420000 - Carnes de pato sin trocear, congeladas.",Avícola,Carne y despojos comestibles de ganso o pato,KG,10005.75,39.96,118881.68,10.01
2016,Septiembre,249,Estados Unidos,-98.5,39.76,11,"BOGOTÁ, D. C.",-74106715324,464993705899,"0207450000 - Las demás carnes y despojos comestibles de patos, congelados.",Avícola,Carne y despojos comestibles de ganso o pato,KG,908.31,13.28,39493.44,0.91
2016,Septiembre,249,Estados Unidos,-98.5,39.76,13,BOLÍVAR,-754964264795,103849883546,"0207270000 - Trozos y despojos de pavo (gallipavo), congelados.",Avícola,Carne y despojos comestibles de pavos,KG,18131.98,52.33,167126.83,18.13
